name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5
"East Providence, RI",41.8137116,-71.3700545,0.981,0.976,0.9505,0.9085,0.8585
"Providence, RI",41.8239891,-71.4128343,3.713,3.6945,3.5975,3.439,3.249
"Woonsocket, RI",42.0028761,-71.5147839,0.859,0.8545,0.832,0.7955,0.7515
"Valley Falls, RI",41.9067663,-71.3906119,0.241,0.2395,0.2335,0.223,0.2105
"Conneaut, OH",41.9475551,-80.5542409,0.2055,0.2045,0.199,0.19,0.1795
"Warwick, RI",41.700101,-71.4161671,1.724,1.7155,1.6705,1.597,1.5085
"Columbus, NE",41.4297341,-97.3683753,0.29,0.2885,0.281,0.2685,0.2535
"Fremont, NE",41.4333328,-96.4980807,0.346,0.3445,0.335,0.3205,0.303
"Newport, RI",41.4901024,-71.3128285,0.5145,0.512,0.4985,0.4765,0.45
"Stratford, CT",41.1845415,-73.1331651,1.8315,1.822,1.774,1.696,1.6025
"Trumbull, CT",41.2428742,-73.2006687,1.2835,1.277,1.2435,1.189,1.123
"Westport, CT",41.1414855,-73.3578955,0.9405,0.936,0.911,0.871,0.823
"Westerly, RI",41.3775996,-71.8272911,0.374,0.372,0.3625,0.3465,0.3275
"North Haven, CT",41.3909305,-72.859545,0.8585,0.8545,0.832,0.7955,0.7515
"Orange, CT",41.2784304,-73.0256609,0.4975,0.495,0.482,0.4605,0.435
"Dunmore, PA",41.4198027,-75.6324112,0.4565,0.4545,0.4425,0.423,0.3995
"Scranton, PA",41.408969,-75.6624122,2.4725,2.46,2.395,2.29,2.1635
"Bay Village, OH",41.4847663,-81.9220845,0.2505,0.249,0.2425,0.232,0.219
"Beachwood, OH",41.4644979,-81.5087322,0.191,0.19,0.185,0.177,0.1675
"Bedford, OH",41.3931096,-81.5365094,0.209,0.208,0.2025,0.1935,0.183
"Bedford Heights, OH",41.4169982,-81.5273428,0.172,0.171,0.1665,0.1595,0.1505
"North Olmsted, OH",41.4156025,-81.9234726,0.5235,0.5205,0.507,0.4845,0.458
"North Royalton, OH",41.3136644,-81.7245739,0.487,0.4845,0.4715,0.451,0.426
"Parma, OH",41.4047742,-81.7229086,1.305,1.2985,1.2645,1.209,1.142
"Parma Heights, OH",41.3900518,-81.7595769,0.3315,0.3295,0.321,0.307,0.29
"Richmond Heights, OH",41.5528288,-81.5101208,0.1685,0.168,0.1635,0.156,0.1475
"Rocky River, OH",41.4756031,-81.8393034,0.3235,0.3215,0.313,0.2995,0.283
"Seven Hills, OH",41.3953304,-81.6762392,0.189,0.188,0.183,0.175,0.165
"Shaker Heights, OH",41.4739419,-81.5370671,0.455,0.4525,0.441,0.4215,0.398
"Solon, OH",41.3897764,-81.4412259,0.3735,0.3715,0.362,0.346,0.327
"South Euclid, OH",41.5231076,-81.5184553,0.3565,0.355,0.3455,0.3305,0.312
"Strongsville, OH",41.3144966,-81.83569,0.716,0.712,0.6935,0.663,0.6265
"University Heights, OH",41.4978306,-81.5373456,0.2165,0.2155,0.21,0.2005,0.1895
"Warrensville Heights, OH",41.4350535,-81.5362327,0.2165,0.2155,0.21,0.2005,0.1895
"Westlake, OH",41.4553232,-81.9179174,0.5235,0.521,0.507,0.485,0.458
"Oil City, PA",41.4339484,-79.7064413,0.343,0.3415,0.3325,0.3175,0.3
"Sandusky, OH",41.4489397,-82.7079605,0.4125,0.4105,0.3995,0.382,0.361
"Sharon, PA",41.2331116,-80.4934035,0.456,0.454,0.442,0.4225,0.399
"White Plains, NY",41.0339862,-73.7629097,0.7215,0.718,0.699,0.668,0.6315
"Yonkers, NY",40.9312099,-73.8987469,2.487,2.4745,2.4095,2.3035,2.176
"Hopatcong, NJ",40.9328763,-74.6593281,0.609,0.606,0.59,0.564,0.5325
"Berwick, PA",41.0545292,-76.2332676,0.3405,0.3385,0.33,0.3155,0.298
"Brunswick, OH",41.2381096,-81.8418007,0.548,0.545,0.531,0.5075,0.4795
"Medina, OH",41.1383878,-81.8637474,0.4265,0.4245,0.4135,0.395,0.3735
"Clifton, NJ",40.8584328,-74.1637553,3.3815,3.365,3.276,3.132,2.959
"Hawthorne, NJ",40.9492649,-74.1537549,0.7555,0.7515,0.7315,0.6995,0.661
"Little Ferry, NJ",40.8528777,-74.0420848,0.427,0.425,0.414,0.3955,0.3735
"Lodi, NJ",40.8823215,-74.0831971,0.97,0.9655,0.94,0.8985,0.849
"Cliffside Park, NJ",40.8214894,-73.9876388,0.9485,0.9435,0.9185,0.8785,0.83
"Dumont, NJ",40.9406541,-73.9968051,0.7025,0.699,0.6805,0.6505,0.6145
"Edgewater, NJ",40.8270448,-73.975694,0.4625,0.4605,0.4485,0.4285,0.405
"Elmwood Park, NJ",40.9039878,-74.118476,0.78,0.776,0.7555,0.7225,0.6825
"Englewood, NJ",40.8928771,-73.9726381,1.091,1.0855,1.057,1.0105,0.9545
"Fair Lawn, NJ",40.9403762,-74.1318096,1.3045,1.298,1.264,1.208,1.1415
"Fairview, NJ",40.8126006,-73.999028,0.556,0.5535,0.5385,0.515,0.4865
"Fort Lee, NJ",40.8509333,-73.9701382,1.4205,1.4135,1.3765,1.3155,1.243
"Franklin Lakes, NJ",41.0167639,-74.2057012,0.4255,0.4235,0.4125,0.394,0.3725
"Garfield, NJ",40.8814882,-74.113198,1.2255,1.219,1.187,1.135,1.072
"Glen Rock, NJ",40.9628758,-74.1329208,0.4665,0.464,0.4515,0.432,0.408
"Hackensack, NJ",40.8859326,-74.0434736,1.7285,1.72,1.6745,1.601,1.5125
"Hasbrouck Heights, NJ",40.8581553,-74.0806971,0.476,0.4735,0.461,0.441,0.4165
"Hillsdale, NJ",41.0025975,-74.0404175,0.4105,0.4085,0.398,0.3805,0.3595
"Struthers, OH",41.0525588,-80.6078509,0.1715,0.1705,0.166,0.1585,0.15
"Youngstown, OH",41.0997803,-80.6495194,1.0715,1.066,1.038,0.9925,0.9375
"Madison, NJ",40.7598227,-74.417097,0.637,0.6335,0.617,0.59,0.5575
"Morristown, NJ",40.7967667,-74.4815438,0.74,0.7365,0.717,0.6855,0.6475
"Dover, NJ",40.883988,-74.5621025,0.73,0.726,0.707,0.676,0.6385
"Florham Park, NJ",40.787878,-74.3882072,0.47,0.468,0.4555,0.4355,0.4115
"Bayonne, NJ",40.6687141,-74.1143091,2.533,2.5205,2.454,2.346,2.2165
"Guttenberg, NJ",40.7920454,-74.0037505,0.449,0.447,0.435,0.416,0.393
"Harrison, NJ",40.7464901,-74.1562551,0.5475,0.5445,0.5305,0.507,0.479
"Hoboken, NJ",40.7439906,-74.0323626,2.01,2,1.947,1.8615,1.7585
"Jersey City, NJ",40.7281575,-74.0776417,9.9515,9.902,9.641,9.217,8.7075
"Kearny, NJ",40.7684342,-74.1454214,1.635,1.627,1.584,1.5145,1.431
"Manville, NJ",40.5409367,-74.587657,0.416,0.4135,0.403,0.385,0.364
"Elizabeth, NJ",40.6639916,-74.2107006,5.023,4.998,4.866,4.652,4.395
"Monroeville, PA",40.4211798,-79.7881025,0.9225,0.9175,0.8935,0.854,0.807
"Plum, PA",40.5003457,-79.7494911,0.8815,0.877,0.854,0.8165,0.771
"Metuchen, NJ",40.5431598,-74.3632049,0.5455,0.543,0.5285,0.5055,0.4775
"Highland Park, NJ",40.4959379,-74.4243178,0.562,0.559,0.5445,0.5205,0.4915
"Washington, PA",40.17396,-80.2461714,0.444,0.4415,0.43,0.411,0.3885
"Long Branch, NJ",40.3042778,-73.9923596,1.2345,1.2285,1.196,1.1435,1.0805
"Eatontown, NJ",40.2962222,-74.0509725,0.511,0.5085,0.495,0.473,0.447
"Asbury Park, NJ",40.2203907,-74.0120817,0.6475,0.6445,0.6275,0.6,0.567
"Freehold, NJ",40.260111,-74.2737573,0.4845,0.482,0.4695,0.4485,0.424
"Keansburg, NJ",40.4417743,-74.1298643,0.406,0.404,0.3935,0.376,0.3555
"Coshocton, OH",40.2720151,-81.8595757,0.1795,0.1785,0.174,0.166,0.157
"Lansdale, PA",40.2414952,-75.2837862,0.5285,0.526,0.512,0.4895,0.4625
"Norristown, PA",40.121497,-75.3399048,1.1155,1.1095,1.0805,1.033,0.976
"Columbia, PA",40.0337085,-76.5044098,0.338,0.336,0.3275,0.313,0.2955
"Elizabethtown, PA",40.1528719,-76.6027455,0.375,0.373,0.3635,0.3475,0.328
"Ephrata, PA",40.1798165,-76.1788391,0.435,0.433,0.4215,0.403,0.381
"Lancaster, PA",40.0378755,-76.3055144,1.9275,1.918,1.8675,1.785,1.6865
"Bexley, OH",39.9689532,-82.9376804,0.209,0.208,0.2025,0.1935,0.1825
"Columbus, OH",39.9611755,-82.9987942,12.5885,12.5255,12.1955,11.659,11.015
"Upper Arlington, OH",39.9945084,-83.0624078,0.54,0.5375,0.5235,0.5005,0.4725
"Westerville, OH",40.1261743,-82.9290696,0.5775,0.575,0.5595,0.535,0.5055
"Whitehall, OH",39.9667308,-82.8854559,0.289,0.2875,0.28,0.2675,0.253
"Springfield, OH",39.9242266,-83.8088172,0.9695,0.9645,0.939,0.898,0.848
"Collingswood, NJ",39.9181686,-75.071284,0.5595,0.557,0.5425,0.5185,0.49
"Gloucester City, NJ",39.8917799,-75.1162863,0.4605,0.458,0.446,0.4265,0.403
"Haddonfield, NJ",39.8915022,-75.0376707,0.466,0.4635,0.4515,0.4315,0.4075
"Lancaster, OH",39.7136754,-82.5993294,0.6205,0.617,0.601,0.5745,0.5425
"Huber Heights, OH",39.843947,-84.1246608,0.6095,0.6065,0.5905,0.5645,0.533
"Kettering, OH",39.6895036,-84.1688274,0.8985,0.894,0.8705,0.832,0.786
"Vandalia, OH",39.8906122,-84.1988308,0.244,0.2425,0.236,0.226,0.2135
"West Carrollton, OH",39.6722812,-84.2521632,0.21,0.209,0.2035,0.1945,0.184
"Glassboro, NJ",39.7028923,-75.1118422,0.7465,0.743,0.7235,0.6915,0.6535
"Xenia, OH",39.6847822,-83.9296526,0.4115,0.4095,0.3985,0.381,0.36
"Atlantic City, NJ",39.3642834,-74.4229266,1.59,1.582,1.5405,1.4725,1.391
"Hammonton, NJ",39.6365056,-74.8023853,0.5945,0.5915,0.576,0.5505,0.52
"Washington Court House, OH",39.5364511,-83.4390843,0.227,0.226,0.22,0.21,0.1985
"Fairfield, OH",39.34589,-84.5605016,0.68,0.6765,0.6585,0.6295,0.595
"Hamilton, OH",39.3995008,-84.5613355,0.9995,0.9945,0.968,0.9255,0.8745
"Middletown, OH",39.5150576,-84.3982763,0.779,0.775,0.7545,0.7215,0.6815
"Trenton, OH",39.4808905,-84.4577222,0.19,0.189,0.184,0.176,0.166
"Loveland, OH",39.2689476,-84.263826,0.193,0.1925,0.187,0.179,0.169
"Blue Ash, OH",39.2320029,-84.3782734,0.194,0.193,0.1875,0.1795,0.1695
"Cincinnati, OH",39.1146631,-84.52968641,4.7495,4.726,4.601,4.399,4.156
"Forest Park, OH",39.2903353,-84.5041108,0.2995,0.298,0.29,0.2775,0.262
"Carson City, NV",39.1637984,-119.7674034,1.806,1.797,1.75,1.673,1.5805
"Vienna, VA",38.9012225,-77.2652604,0.369,0.367,0.3575,0.3415,0.3225
"Merriam, KS",39.0236165,-94.6935701,0.141,0.1405,0.137,0.1305,0.1235
"Olathe, KS",38.8813958,-94.8191285,1.615,1.607,1.5645,1.4955,1.413
"Overland Park, KS",38.9822282,-94.6707917,2.224,2.213,2.1545,2.06,1.946
"Falls Church, VA",38.882334,-77.1710914,0.29,0.2885,0.281,0.2685,0.2535
"Alexandria, VA",38.8048356,-77.0469214,3.291,3.2745,3.188,3.048,2.8795
"Manassas Park, VA",38.7840035,-77.4697111,0.3355,0.334,0.325,0.311,0.2935
"Manassas, VA",38.7509488,-77.4752667,0.889,0.885,0.8615,0.8235,0.778
"Ottawa, KS",38.6155668,-95.2677515,0.1625,0.1615,0.157,0.1505,0.142
"Harrisonburg, VA",38.4495688,-78.8689156,1.15,1.1445,1.114,1.065,1.0065
"Fredericksburg, VA",38.3031837,-77.4605399,0.571,0.568,0.553,0.529,0.4995
"Newton, KS",38.0466779,-97.3450365,0.2455,0.244,0.238,0.2275,0.215
"Waynesboro, VA",38.0684693,-78.8894682,0.494,0.4915,0.4785,0.4575,0.432
"Lynchburg, VA",37.4137536,-79.1422464,1.7765,1.768,1.721,1.6455,1.5545
"Roanoke, VA",37.2709704,-79.9414267,2.2815,2.27,2.21,2.113,1.996
"Hopewell, VA",37.3043154,-77.2872001,0.531,0.5285,0.5145,0.492,0.465
"Colonial Heights, VA",37.244039,-77.4102607,0.4095,0.4075,0.3965,0.379,0.358
"Petersburg, VA",37.2279279,-77.4019267,0.762,0.7585,0.7385,0.706,0.667
"Newport News, VA",36.9787588,-76.428003,4.249,4.228,4.1165,3.9355,3.718
"Poquoson, VA",37.1223664,-76.3457773,0.2855,0.284,0.2765,0.2645,0.25
"Radford, VA",37.1317924,-80.5764477,0.386,0.384,0.3735,0.3575,0.3375
"Hampton, VA",37.0298687,-76.3452218,3.2315,3.215,3.1305,2.9925,2.8275
"Norfolk, VA",36.8468146,-76.2852183,5.7085,5.68,5.5305,5.287,4.995
"Virginia Beach, VA",36.8529263,-75.977985,10.298,10.2465,9.9765,9.5375,9.0105
"Portsmouth, VA",36.8354258,-76.2982742,2.246,2.235,2.176,2.0805,1.9655
"Suffolk, VA",36.7282054,-76.5835621,1.9885,1.979,1.9265,1.842,1.74
"Chesapeake, VA",36.8190369,-76.2749399,5.2245,5.1985,5.0615,4.8385,4.5715
"Danville, VA",36.5859718,-79.3950228,1.0125,1.007,0.9805,0.9375,0.886
"Bristol, VA",36.5964948,-82.1884666,0.4195,0.417,0.406,0.3885,0.367
"Marquette, MI",46.5435442,-87.395417,0.7385,0.7345,0.715,0.684,0.646
"Escanaba, MI",45.7452466,-87.0645801,0.436,0.434,0.4225,0.404,0.3815
"Marinette, WI",45.099985,-87.6306623,0.224,0.223,0.217,0.2075,0.196
"Sault Sainte Marie, MI",46.4952997,-84.3453169,0.489,0.4865,0.4735,0.453,0.428
"Traverse City, MI",44.7630567,-85.6206317,0.5075,0.505,0.4915,0.47,0.444
"Alpena, MI",45.0616794,-83.4327528,0.3625,0.3605,0.351,0.3355,0.317
"Port Huron, MI",42.9708634,-82.4249142,1.0435,1.0385,1.011,0.9665,0.913
"Riverview, MI",42.1742073,-83.1793697,0.4315,0.4295,0.418,0.4,0.3775
"Romulus, MI",42.2222614,-83.3965995,0.8295,0.825,0.8035,0.768,0.7255
"Southgate, MI",42.2139284,-83.1938147,1.039,1.0335,1.0065,0.962,0.909
"Taylor, MI",42.240872,-83.2696509,2.1825,2.1715,2.1145,2.0215,1.91
"Trenton, MI",42.1394859,-83.1782587,0.652,0.6485,0.6315,0.6035,0.5705
"Allen Park, MI",42.2575385,-83.2110375,0.9755,0.9705,0.945,0.9035,0.8535
"Dearborn, MI",42.3222599,-83.1763145,3.3935,3.3765,3.2875,3.143,2.969
"Dearborn Heights, MI",42.3369816,-83.2732627,1.9975,1.9875,1.935,1.85,1.7475
"Detroit, MI",42.331427,-83.0457538,24.677,24.554,23.9065,22.855,21.5925
"Garden City, MI",42.3255929,-83.3310422,0.9575,0.9525,0.9275,0.8865,0.8375
"Grosse Pointe Park, MI",42.3758708,-82.9374159,0.3995,0.3975,0.387,0.37,0.3495
"Grosse Pointe Woods, MI",42.4436478,-82.9068603,0.558,0.555,0.5405,0.5165,0.488
"Hamtramck, MI",42.3928151,-83.0496438,0.775,0.7715,0.751,0.718,0.6785
"Harper Woods, MI",42.4330924,-82.9240833,0.492,0.4895,0.477,0.456,0.4305
"Highland Park, MI",42.4055925,-83.096868,0.407,0.405,0.3945,0.377,0.356
"Inkster, MI",42.2942045,-83.3099303,0.877,0.8725,0.8495,0.8125,0.7675
"Lincoln Park, MI",42.2505943,-83.1785361,1.3185,1.312,1.2775,1.2215,1.154
"Livonia, MI",42.36837,-83.3527097,3.3515,3.335,3.247,3.104,2.9325
"Melvindale, MI",42.2825383,-83.175203,0.3705,0.3685,0.359,0.343,0.324
"Monroe, MI",41.9164343,-83.3977101,0.717,0.713,0.6945,0.664,0.627
"Brooklyn Center, MN",45.076076,-93.3327284,0.559,0.5565,0.5415,0.518,0.489
"Brooklyn Park, MN",45.0941315,-93.3563405,1.4075,1.4005,1.3635,1.3035,1.2315
"Massena, NY",44.9281049,-74.891865,0.139,0.138,0.1345,0.1285,0.1215
"Brighton, NY",43.1475626,-77.5505543,0.4645,0.4625,0.45,0.4305,0.4065
"Greece, NY",43.2097838,-77.6930602,0.184,0.1835,0.1785,0.1705,0.161
"Irondequoit, NY",43.2133955,-77.5797226,0.656,0.6525,0.6355,0.6075,0.574
"Forest Hills, MI",42.9594739,-85.4897456,0.8945,0.89,0.8665,0.8285,0.7825
"Northview, MI",43.0455825,-85.6005862,0.5025,0.5,0.487,0.4655,0.44
"Comstock Park, MI",43.0386368,-85.6700332,0.349,0.347,0.338,0.323,0.305
"Cutlerville, MI",42.8408622,-85.663638,0.497,0.4945,0.4815,0.46,0.4345
"Beecher, MI",43.0900266,-83.6944022,0.3535,0.352,0.3425,0.3275,0.3095
"Jenison, MI",42.9072481,-85.7919784,0.572,0.569,0.554,0.5295,0.5005
"Allendale, MI",42.9722455,-85.9536535,0.608,0.6045,0.589,0.563,0.532
"Cheektowaga, NY",42.9033917,-78.7547536,0.954,0.9495,0.924,0.8835,0.835
"Tonawanda, NY",43.0203347,-78.880315,0.738,0.734,0.715,0.6835,0.6455
"West Seneca, NY",42.8500585,-78.7997547,0.5675,0.5645,0.5495,0.5255,0.4965
"Kenmore, NY",42.9658907,-78.8700361,0.1955,0.1945,0.1895,0.1815,0.1715
"Lancaster, NY",42.9006144,-78.6703063,0.1315,0.1305,0.1275,0.1215,0.115
"Depew, NY",42.9039476,-78.6922515,0.194,0.193,0.188,0.18,0.17
"Rotterdam, NY",42.7870209,-73.9709583,0.262,0.261,0.254,0.2425,0.2295
"Saugus, MA",42.4648183,-71.010051,0.891,0.8865,0.8635,0.8255,0.7795
"Swampscott, MA",42.4709296,-70.9175487,0.4615,0.459,0.447,0.4275,0.4035
"Haslett, MI",42.7469789,-84.4010848,0.6645,0.661,0.6435,0.6155,0.5815
"Holt, MI",42.6405913,-84.5152545,0.829,0.8245,0.803,0.7675,0.725
"Okemos, MI",42.722257,-84.4274744,0.739,0.735,0.7155,0.684,0.6465
"Reading, MA",42.5256502,-71.0953314,0.828,0.824,0.8025,0.767,0.7245
"Stoneham, MA",42.4800954,-71.0994976,0.7175,0.714,0.695,0.6645,0.6275
"Wakefield, MA",42.506484,-71.0728306,0.8345,0.83,0.8085,0.7725,0.73
"Fredonia, NY",42.4400576,-79.3317105,0.1425,0.142,0.138,0.132,0.1245
"Gages Lake, IL",42.3516887,-87.9825772,0.1715,0.1705,0.166,0.159,0.15
"Endwell, NY",42.1128526,-76.021034,0.1455,0.1445,0.1405,0.1345,0.127
"Johnson City, NY",42.1156308,-75.9588092,0.1925,0.1915,0.1865,0.1785,0.1685
"Endicott, NY",42.098408,-76.0493684,0.17,0.169,0.1645,0.1575,0.1485
"Milton, MA",42.2495435,-71.0661612,0.9035,0.899,0.8755,0.837,0.7905
"Needham, MA",42.283431,-71.2328329,0.9665,0.962,0.9365,0.8955,0.846
"Norwood, MA",42.194543,-71.1994976,0.957,0.9525,0.9275,0.8865,0.8375
"Randolph, MA",42.1625997,-71.0411588,1.0745,1.069,1.041,0.9955,0.9405
"Somerset, MA",41.7695463,-71.128656,0.608,0.605,0.589,0.563,0.532
"South Yarmouth, MA",41.6667779,-70.1847414,0.371,0.3695,0.3595,0.344,0.325
"Torrington, CT",41.8006523,-73.1212214,1.2965,1.29,1.256,1.201,1.1345
"Bristol, CT",41.6717648,-72.9492703,2.1555,2.1445,2.088,1.996,1.886
"Hartford, CT",41.7637111,-72.6850932,4.447,4.4245,4.308,4.1185,3.891
"New Britain, CT",41.6612104,-72.7795419,2.609,2.596,2.5275,2.4165,2.283
"Manchester, CT",41.7759324,-72.5214755,1.0895,1.0845,1.0555,1.0095,0.9535
"Groton, CT",41.3500984,-72.0784092,0.3705,0.3685,0.3585,0.343,0.324
"New London, CT",41.3556539,-72.0995209,0.9845,0.9795,0.9535,0.9115,0.8615
"Norwich, CT",41.5242649,-72.0759105,1.443,1.436,1.398,1.3365,1.263
"Bridgeport, CT",41.1670412,-73.2048348,5.14,5.1145,4.9795,4.7605,4.4975
"Danbury, CT",41.394817,-73.4540111,2.883,2.8685,2.793,2.67,2.5225
"Norwalk, CT",41.1175966,-73.4078968,3.051,3.0355,2.9555,2.8255,2.6695
"Shelton, CT",41.3164856,-73.0931641,1.41,1.403,1.366,1.306,1.2335
"Stamford, CT",41.0534302,-73.5387341,4.371,4.349,4.2345,4.048,3.8245
"Middletown, CT",41.5623209,-72.6506488,1.698,1.6895,1.645,1.573,1.486
"Ansonia, CT",41.3462078,-73.0789969,0.686,0.6825,0.6645,0.6355,0.6005
"Derby, CT",41.3206523,-73.0889973,0.46,0.4575,0.4455,0.426,0.4025
"Meriden, CT",41.5381535,-72.8070435,2.1695,2.1585,2.1015,2.009,1.898
"Naugatuck, CT",41.48593,-73.0506632,1.1355,1.13,1.1,1.0515,0.9935
"New Haven, CT",41.3081527,-72.9281578,4.625,4.602,4.481,4.2835,4.047
"Waterbury, CT",41.5581525,-73.0514966,3.9335,3.9135,3.8105,3.643,3.4415
"West Haven, CT",41.2706527,-72.9470471,1.9805,1.9705,1.9185,1.834,1.7325
"Kiryas Joel, NY",41.3420381,-74.1679241,0.256,0.2545,0.248,0.237,0.224
"Woodbury, NY",41.3645382,-74.1059775,0.1355,0.135,0.1315,0.1255,0.1185
"Mountain Top, PA",41.1695269,-75.877419,0.357,0.355,0.3455,0.3305,0.312
"Harrison, NY",40.9689871,-73.71263,0.3485,0.347,0.3375,0.323,0.305
"Mamaroneck, NY",40.9487097,-73.7326309,0.24,0.239,0.2325,0.2225,0.21
"Mount Kisco, NY",41.2042616,-73.7270761,0.138,0.1375,0.1335,0.128,0.121
"Ossining, NY",41.1628731,-73.8615246,0.318,0.3165,0.308,0.2945,0.2785
"Port Chester, NY",41.0017643,-73.6656834,0.3675,0.366,0.356,0.3405,0.3215
"Scarsdale, NY",41.0050977,-73.7845768,0.218,0.217,0.211,0.202,0.1905
"Tarrytown, NY",41.0762077,-73.8587461,0.143,0.1425,0.1385,0.1325,0.125
"Dobbs Ferry, NY",41.0145418,-73.872635,0.138,0.1375,0.1335,0.128,0.121
"Monsey, NY",41.1112069,-74.0684751,0.2335,0.2325,0.2265,0.2165,0.2045
"Nanuet, NY",41.0887073,-74.013473,0.227,0.226,0.22,0.21,0.1985
"New City, NY",41.1475954,-73.9893061,0.426,0.4235,0.4125,0.3945,0.3725
"Pearl River, NY",41.0589855,-74.0218063,0.2015,0.2005,0.195,0.1865,0.1765
"Stony Point, NY",41.2295386,-73.9870847,0.154,0.1535,0.1495,0.143,0.135
"Haverstraw, NY",41.1975947,-73.9645837,0.151,0.1505,0.1465,0.14,0.132
"Spring Valley, NY",41.1131514,-74.0437521,0.398,0.396,0.3855,0.3685,0.348
"Suffern, NY",41.1148179,-74.1495889,0.136,0.1355,0.132,0.126,0.119
"West Haverstraw, NY",41.2095389,-73.9854177,0.129,0.1285,0.125,0.1195,0.113
"Elwood, NY",40.8453761,-73.3351179,0.142,0.141,0.1375,0.1315,0.124
"Farmingville, NY",40.8312096,-73.029552,0.1965,0.1955,0.1905,0.182,0.172
"Fort Salonga, NY",40.9125979,-73.3009489,0.127,0.1265,0.123,0.1175,0.111
"Bay Shore, NY",40.7250986,-73.2453946,0.334,0.3325,0.324,0.3095,0.2925
"Bohemia, NY",40.7692649,-73.1151118,0.129,0.1285,0.125,0.1195,0.113
"Brentwood, NY",40.7812093,-73.2462273,0.77,0.766,0.746,0.713,0.6735
"Centereach, NY",40.8584316,-73.0995539,0.4005,0.3985,0.388,0.371,0.3505
"Central Islip, NY",40.7906538,-73.2017811,0.437,0.435,0.4235,0.405,0.3825
"Commack, NY",40.8428759,-73.2928943,0.4585,0.456,0.444,0.4245,0.401
"Copiague, NY",40.6814892,-73.3998445,0.292,0.2905,0.2825,0.27,0.2555
"Coram, NY",40.8687097,-73.0014946,0.4965,0.494,0.481,0.4595,0.4345
"Deer Park, NY",40.7617653,-73.3292858,0.352,0.3505,0.341,0.326,0.308
"Dix Hills, NY",40.8048207,-73.3362298,0.3415,0.3395,0.3305,0.316,0.2985
"East Islip, NY",40.7320429,-73.1856703,0.1835,0.183,0.178,0.17,0.1605
"East Northport, NY",40.8767648,-73.3245614,0.2565,0.2555,0.2485,0.2375,0.2245
"East Patchogue, NY",40.7670427,-72.9962189,0.285,0.2835,0.276,0.264,0.2495
"Medford, NY",40.8175985,-73.0001068,0.3065,0.305,0.297,0.2835,0.268
"Melville, NY",40.7934322,-73.4151214,0.241,0.2395,0.2335,0.223,0.211
"Middle Island, NY",40.8842653,-72.9373262,0.133,0.1325,0.129,0.123,0.1165
"Miller Place, NY",40.9598212,-72.9962148,0.1565,0.156,0.1515,0.145,0.137
"Mount Sinai, NY",40.9470432,-73.0295495,0.154,0.153,0.149,0.1425,0.1345
"Nesconset, NY",40.8520426,-73.1540004,0.17,0.169,0.1645,0.1575,0.1485
"North Amityville, NY",40.6976002,-73.425123,0.2265,0.2255,0.2195,0.21,0.1985
"North Babylon, NY",40.7164881,-73.3217861,0.222,0.221,0.2155,0.206,0.1945
"North Bay Shore, NY",40.7362096,-73.2626174,0.2405,0.239,0.233,0.2225,0.2105
"North Bellport, NY",40.7742652,-72.9428836,0.1465,0.146,0.142,0.1355,0.128
"North Lindenhurst, NY",40.7142663,-73.3815102,0.148,0.147,0.143,0.137,0.1295
"Ridge, NY",40.8939875,-72.8959364,0.169,0.1685,0.164,0.1565,0.148
"Riverhead, NY",40.9170435,-72.6620402,0.169,0.168,0.1635,0.1565,0.1475
"Rocky Point, NY",40.9525987,-72.9253805,0.178,0.177,0.1725,0.1645,0.1555
"Ronkonkoma, NY",40.8153761,-73.112333,0.242,0.241,0.2345,0.2245,0.212
"Greenlawn, NY",40.8689871,-73.3651185,0.1745,0.1735,0.169,0.1615,0.1525
"Hampton Bays, NY",40.8689892,-72.5175893,0.1725,0.172,0.167,0.16,0.151
"Hauppauge, NY",40.8256537,-73.2026138,0.265,0.2635,0.2565,0.2455,0.232
"Holbrook, NY",40.8123205,-73.078443,0.345,0.3435,0.3345,0.3195,0.302
"Holtsville, NY",40.8153762,-73.0451085,0.25,0.249,0.2425,0.2315,0.219
"Huntington, NY",40.868154,-73.425676,0.229,0.228,0.222,0.212,0.2005
"Huntington Station, NY",40.8534318,-73.4115091,0.419,0.417,0.406,0.388,0.367
"Islip, NY",40.7298207,-73.2103934,0.237,0.236,0.23,0.2195,0.2075
"Kings Park, NY",40.886209,-73.2573369,0.2195,0.218,0.2125,0.203,0.192
"Lake Ronkonkoma, NY",40.8350983,-73.1312222,0.256,0.2545,0.248,0.237,0.224
"Manorville, NY",40.8737096,-72.8078791,0.1815,0.1805,0.176,0.168,0.159
"Mastic Beach, NY",40.7667655,-72.8520476,0.164,0.1635,0.159,0.152,0.1435
"Mastic, NY",40.8020431,-72.8409359,0.1965,0.1955,0.1905,0.182,0.172
"Sayville, NY",40.7359317,-73.0820556,0.214,0.213,0.207,0.198,0.187
"Selden, NY",40.8664874,-73.0356625,0.252,0.2505,0.244,0.2335,0.2205
"Shirley, NY",40.8014876,-72.8676033,0.3535,0.3515,0.3425,0.3275,0.3095
"Smithtown, NY",40.8559314,-73.2006687,0.336,0.334,0.3255,0.311,0.294
"Saint James, NY",40.8789871,-73.1567778,0.1695,0.1685,0.164,0.157,0.148
"Stony Brook, NY",40.9256538,-73.140943,0.1745,0.1735,0.169,0.1615,0.1525
